PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,CeTD_HB1,CeTD_HB2,CeTD_HB3,CeTD_VW1,CeTD_VW2,CeTD_VW3,CeTD_PZ1,CeTD_PZ2,CeTD_11_HB,CeTD_11_VW,CeTD_11_PO,CeTD_11_PZ,CeTD_11_CH,CeTD_11_SS,CeTD_11_SA,CeTD_12_HB,CeTD_12_VW,CeTD_12_PZ,CeTD_12_CH,CeTD_12_SS,CeTD_12_SA,CeTD_1-3_HB,CeTD_1-3_VW,CeTD_1-3_PO,CeTD_1-3_PZ,CeTD_22_PZ,CeTD_22_CH,CeTD_22_SA,CeTD_23_VW,CeTD_23_PO,CeTD_23_PZ,CeTD_23_SS,CeTD_23_SA,CeTD_31_HB,CeTD_31_PO,CeTD_31_PZ,CeTD_31_CH,CeTD_31_SS,CeTD_31_SA,CeTD_32_HB,CeTD_32_VW,CeTD_32_PO,CeTD_32_PZ,CeTD_32_CH,CeTD_32_SS,CeTD_32_SA,CeTD_33_HB,CeTD_33_VW,CeTD_33_PZ,CeTD_33_CH,CeTD_33_SS,CeTD_33_SA,CeTD_0_p_HB1,CeTD_25_p_HB1,CeTD_0_p_VW1,CeTD_0_p_PO1,CeTD_25_p_PO1,CeTD_0_p_PZ1,CeTD_0_p_CH1,CeTD_25_p_CH1,CeTD_0_p_SS1,CeTD_25_p_SS1,CeTD_0_p_SA1,CeTD_0_p_HB2,CeTD_0_p_VW2,CeTD_0_p_PO2,CeTD_0_p_PZ2,CeTD_0_p_CH2,CeTD_0_p_SS2,CeTD_25_p_SS2,CeTD_0_p_SA2,CeTD_0_p_HB3,CeTD_25_p_HB3,CeTD_0_p_VW3,CeTD_25_p_VW3,CeTD_0_p_PO3,CeTD_25_p_PO3,CeTD_0_p_PZ3,CeTD_0_p_CH3,CeTD_0_p_SS3,CeTD_0_p_SA3,CeTD_25_p_SA3,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
0.231,0.0,0.769,0.0,0.769,0.769,0.0,0.0,0.769,0.231,0.0,0.0,0.0,1.0,0.0,0.0,0.769,0.231,0.0,0.769,0.769,0.713,-1.579,-0.113,0.236,1.072,23.08,76.92,0.0,76.92,0.0,23.08,76.92,0.0,0,3,0,3,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,12,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.429,0.0,0.571,0.0,0.571,0.381,0.0,0.19,0.571,0.429,0.0,0.0,0.0,0.81,0.19,0.0,0.571,0.429,0.0,0.381,0.381,0.242,0.248,-0.726,1.24,0.325,42.86,38.1,19.05,38.1,0.0,61.9,38.1,0.0,3,5,1,3,2,2,3,0,1,0,5,0,0,0,5,0,8,0,0,0,3,6,0,5,0,0,0,13,3,0,3,1,0,0,0,0,5,6,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
0.235,0.0,0.765,0.118,0.588,0.471,0.059,0.118,0.706,0.353,0.0,0.0,0.118,0.529,0.353,0.118,0.647,0.294,0.059,0.353,0.471,-0.358,-0.379,-0.062,0.264,0.069,29.41,29.41,41.18,33.33,26.67,40.0,23.53,41.18,0,2,3,2,2,1,3,0,3,0,3,1,3,0,1,1,3,4,2,3,0,4,0,8,0,0,0,4,4,1,3,2,0,1,0,1,6,4,0,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.312,0.0,0.688,0.125,0.562,0.562,0.0,0.0,0.625,0.312,0.125,0.125,0.0,0.875,0.062,0.062,0.562,0.312,0.125,0.188,0.25,-0.931,-0.784,-1.353,-0.045,0.644,31.25,25.0,43.75,25.0,43.75,31.25,25.0,43.75,1,1,3,2,1,1,2,1,3,1,2,1,3,2,1,3,1,3,2,3,1,4,0,6,0,0,0,11,1,1,1,0,0,1,0,0,4,3,1,3,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.86,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.429,0.0,0.571,0.0,0.571,0.429,0.0,0.143,0.571,0.429,0.0,0.0,0.0,0.857,0.143,0.0,0.571,0.429,0.0,0.429,0.429,0.461,-0.05,-0.726,1.07,0.463,42.86,42.86,14.29,42.86,0.0,57.14,42.86,0.0,3,3,3,6,2,0,0,3,0,0,6,0,0,0,6,0,6,0,0,0,3,6,0,5,0,0,0,14,3,0,3,0,0,0,0,0,5,6,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.231,0.0,0.769,0.0,0.769,0.769,0.0,0.0,0.769,0.231,0.0,0.0,0.0,1.0,0.0,0.0,0.769,0.231,0.0,0.308,0.308,-1.373,-1.108,-1.078,-0.032,0.859,23.08,30.77,46.15,30.77,46.15,23.08,30.77,46.15,0,1,2,1,2,0,2,0,4,0,1,0,4,2,1,2,0,4,2,2,0,3,0,6,0,0,0,12,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.235,0.0,0.765,0.118,0.588,0.471,0.059,0.118,0.706,0.353,0.0,0.0,0.118,0.647,0.235,0.118,0.647,0.294,0.059,0.353,0.471,-0.404,-0.328,-0.036,0.278,0.137,29.41,29.41,41.18,33.33,26.67,40.0,23.53,41.18,0,2,3,2,2,1,3,0,3,0,3,1,3,0,1,1,3,4,2,3,0,4,0,8,0,0,0,7,3,1,2,1,0,1,0,1,6,4,0,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.13,0.087,0.783,0.217,0.565,0.522,0.022,0.043,0.609,0.152,0.283,0.065,0.152,0.457,0.326,0.217,0.652,0.196,0.174,0.413,0.609,-0.008,-1.251,0.166,-0.188,-0.107,17.39,41.3,41.3,45.0,32.5,22.5,36.96,43.48,2,2,3,3,8,8,3,8,8,5,6,6,4,2,4,4,1,7,3,6,0,2,2,32,2,0,0,9,6,5,6,6,3,5,3,2,19,5,6,4,1,6,1,1,0,2,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,5,0,3,0,0,0,0,2,2.0,1.0,1.0,1.0,0.0,1.33,1.0,1.0,1.0,1.33,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.188,0.125,0.688,0.188,0.5,0.5,0.0,0.062,0.562,0.188,0.25,0.125,0.0,0.562,0.375,0.062,0.5,0.312,0.188,0.25,0.5,-0.096,-0.971,-0.828,-0.559,0.261,31.25,37.5,31.25,31.25,43.75,25.0,31.25,43.75,1,3,1,2,2,1,2,0,3,1,1,1,4,2,1,2,1,4,2,2,1,2,0,6,2,0,0,5,3,1,3,3,0,0,0,0,4,3,1,2,2,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.67,0.0,1.0
0.086,0.057,0.857,0.143,0.686,0.543,0.0,0.143,0.543,0.114,0.4,0.114,0.0,0.314,0.343,0.343,0.686,0.114,0.143,0.4,0.629,-0.036,-1.082,-0.111,-0.335,0.079,17.14,48.57,34.29,51.43,25.71,22.86,51.43,25.71,0,4,2,3,6,8,3,6,2,6,4,4,1,3,5,2,1,1,3,2,0,2,0,26,2,0,0,4,5,1,4,2,6,2,5,5,16,5,2,3,3,4,1,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1.4,0.0,1.0,0.0,1.0,1.57,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.25,0.0,0.75,0.2,0.55,0.45,0.15,0.1,0.6,0.4,0.2,0.1,0.1,0.4,0.3,0.3,0.5,0.35,0.25,0.35,0.55,0.017,-0.481,-0.006,0.403,0.138,25.0,45.0,30.0,50.0,11.11,38.89,30.0,35.0,1,3,0,3,2,4,1,3,2,2,5,1,0,1,5,0,1,3,4,1,1,3,0,11,0,0,0,4,0,3,1,3,2,2,3,1,6,2,2,1,2,2,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.67,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.189,0.0,0.811,0.081,0.649,0.649,0.108,0.054,0.622,0.378,0.081,0.027,0.0,0.486,0.27,0.243,0.541,0.216,0.243,0.27,0.622,-0.218,-0.644,-0.428,0.118,0.33,21.62,51.35,27.03,40.54,35.14,24.32,29.73,45.95,1,6,1,4,6,8,3,6,1,6,5,7,2,4,4,5,0,5,7,5,0,5,0,26,0,0,0,8,6,4,6,2,2,3,2,3,12,6,2,4,3,3,1,4,0,2,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,2,1.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.67,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0.25,0.0,0.75,0.2,0.55,0.5,0.2,0.05,0.6,0.45,0.2,0.1,0.1,0.4,0.25,0.35,0.45,0.35,0.3,0.35,0.6,0.207,-0.484,-0.018,0.436,0.246,25.0,50.0,25.0,55.56,11.11,33.33,30.0,40.0,1,3,0,3,3,4,1,3,1,2,4,1,0,1,4,0,1,4,3,1,1,3,0,11,0,0,0,4,0,3,1,2,2,2,3,2,4,2,3,1,2,3,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.25,0.0,0.75,0.25,0.5,0.45,0.15,0.05,0.55,0.4,0.25,0.15,0.1,0.4,0.25,0.35,0.45,0.3,0.3,0.4,0.6,0.41,-0.551,-0.052,0.332,0.179,25.0,50.0,25.0,55.56,11.11,33.33,35.0,35.0,1,3,0,3,3,4,1,3,1,2,4,1,0,1,4,0,1,3,3,1,1,3,0,11,0,0,0,4,0,3,1,2,2,2,3,2,4,2,3,1,2,3,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.67,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.121,0.061,0.818,0.182,0.576,0.455,0.061,0.152,0.576,0.242,0.273,0.091,0.0,0.424,0.364,0.212,0.515,0.303,0.242,0.212,0.545,-0.306,-0.468,-0.189,-0.181,0.102,24.24,42.42,33.33,33.33,39.39,27.27,27.27,45.45,2,2,4,4,6,3,2,5,4,4,2,3,5,5,2,4,2,6,5,4,0,2,0,24,2,0,0,6,4,3,5,5,2,2,3,2,10,4,3,4,2,2,2,3,0,2,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2,1.0,1.0
0.105,0.053,0.842,0.263,0.526,0.368,0.053,0.158,0.579,0.211,0.316,0.053,0.105,0.474,0.316,0.211,0.579,0.263,0.158,0.368,0.526,0.226,-0.446,0.377,-0.134,-0.116,26.32,42.11,31.58,41.18,29.41,29.41,31.58,42.11,1,2,1,2,3,3,2,2,2,1,3,2,2,0,1,2,2,3,2,2,0,1,0,14,1,0,0,3,2,4,4,2,0,1,2,0,4,4,3,3,0,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1.67,1.0,0.0,1.0,1.67,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.065,0.0,0.935,0.13,0.739,0.696,0.043,0.022,0.5,0.174,0.391,0.022,0.065,0.37,0.217,0.413,0.717,0.239,0.087,0.478,0.674,0.15,-1.811,-0.092,-0.445,0.029,19.57,50.0,30.43,52.27,36.36,11.36,45.65,43.48,4,1,3,3,14,6,2,7,5,6,3,8,5,2,0,5,0,6,4,5,0,3,0,39,0,0,0,8,2,7,3,4,3,5,4,9,26,3,4,4,0,2,2,0,0,2,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,1.33,1.0,0.0,0.0,1.0,1.86,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.67,0.0,0.0
0.235,0.059,0.706,0.118,0.588,0.412,0.059,0.176,0.529,0.294,0.235,0.0,0.118,0.412,0.294,0.294,0.647,0.294,0.059,0.412,0.529,0.24,-0.545,0.246,0.189,-0.079,29.41,35.29,35.29,46.67,6.67,46.67,35.29,23.53,1,2,2,2,3,1,2,0,3,0,3,0,0,1,3,1,3,0,3,2,0,3,1,7,0,0,0,2,1,4,2,2,0,2,2,1,6,3,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0,1.0,1.0,0.0,1.67,1.67,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.235,0.059,0.706,0.176,0.471,0.471,0.059,0.0,0.294,0.353,0.412,0.059,0.0,0.471,0.118,0.412,0.412,0.294,0.118,0.353,0.588,1.499,-0.496,-0.699,-0.203,0.244,47.06,41.18,11.76,47.06,29.41,23.53,41.18,35.29,3,2,2,5,2,0,0,2,0,2,2,3,1,1,1,2,1,2,1,2,1,3,0,8,1,0,0,4,2,2,0,0,2,3,0,3,3,4,0,3,1,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,1.0,0.0,1.0,0.0,0.0
0.235,0.059,0.706,0.118,0.471,0.471,0.059,0.0,0.294,0.412,0.353,0.0,0.0,0.471,0.118,0.412,0.412,0.353,0.059,0.294,0.647,1.615,-0.392,-0.696,-0.189,0.094,52.94,35.29,11.76,41.18,35.29,23.53,35.29,41.18,4,2,2,5,1,0,0,2,0,2,2,3,2,1,1,2,1,4,1,2,1,3,0,8,1,0,0,4,2,2,0,0,2,3,0,3,3,4,0,3,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,0.0,0.0,1.0,0.0,0.0
0.211,0.0,0.789,0.211,0.579,0.579,0.0,0.0,0.632,0.211,0.211,0.211,0.0,0.789,0.053,0.158,0.579,0.211,0.211,0.421,0.474,-0.389,-1.117,-0.714,-0.247,0.757,21.05,47.37,31.58,47.37,31.58,21.05,47.37,31.58,0,2,2,3,4,2,1,2,2,2,3,2,2,1,2,2,0,2,1,2,0,4,0,10,0,0,0,11,1,2,1,0,0,2,0,1,5,3,2,3,1,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,0.0,0.0,0.0,0.0,0.0,1.67,1.0,0.0,0.0,0.0
