AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
6.25,0.0,0.0,0.0,18.75,0.0,6.25,6.25,37.5,12.5,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0
7.14,0.0,0.0,0.0,14.29,0.0,7.14,7.14,35.71,14.29,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,7.14,0.0
0.0,0.0,0.0,0.0,18.75,0.0,6.25,6.25,37.5,18.75,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0
0.0,0.0,0.0,0.0,14.29,0.0,7.14,7.14,35.71,21.43,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,7.14,0.0
6.25,0.0,0.0,0.0,12.5,0.0,6.25,6.25,37.5,18.75,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0
7.14,0.0,0.0,0.0,14.29,0.0,0.0,7.14,42.86,14.29,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,7.14,0.0
6.52,13.04,2.17,0.0,0.0,8.7,2.17,6.52,4.35,4.35,0.0,6.52,2.17,0.0,6.52,19.57,10.87,2.17,2.17,2.17
0.0,0.0,0.0,0.0,23.08,7.69,0.0,7.69,7.69,15.38,0.0,0.0,0.0,7.69,7.69,7.69,0.0,7.69,7.69,0.0
0.0,0.0,5.71,8.57,2.86,5.71,0.0,11.43,11.43,5.71,2.86,8.57,0.0,22.86,0.0,0.0,2.86,2.86,2.86,5.71
0.0,0.0,5.71,8.57,2.86,8.57,0.0,11.43,11.43,5.71,2.86,8.57,0.0,20.0,0.0,0.0,2.86,2.86,2.86,5.71
5.56,5.56,0.0,5.56,5.56,5.56,0.0,0.0,16.67,5.56,5.56,0.0,5.56,5.56,16.67,0.0,0.0,0.0,16.67,0.0
27.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,16.67,0.0
27.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,16.67,0.0
27.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,16.67,0.0
27.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,16.67,0.0
33.33,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,11.11,0.0
33.33,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,11.11,0.0
44.44,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,11.11,0.0,0.0,0.0,5.56,0.0
33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,16.67,0.0
33.33,0.0,0.0,0.0,5.56,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,11.11,0.0
33.33,0.0,0.0,0.0,0.0,5.56,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,11.11,0.0
27.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,22.22,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,11.11,0.0
27.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,22.22,5.56,5.56,0.0,5.56,0.0,16.67,0.0,0.0,0.0,11.11,0.0
27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,22.22,0.0,0.0,0.0,16.67,0.0
27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,5.56,5.56,0.0,5.56,0.0,27.78,0.0,0.0,0.0,11.11,0.0
8.7,4.35,0.0,0.0,8.7,17.39,4.35,8.7,17.39,4.35,4.35,4.35,0.0,4.35,0.0,4.35,0.0,4.35,4.35,0.0
4.17,4.17,0.0,0.0,0.0,16.67,4.17,0.0,4.17,12.5,0.0,0.0,4.17,4.17,20.83,8.33,4.17,8.33,4.17,0.0
0.0,20.69,0.0,3.45,0.0,17.24,0.0,0.0,0.0,3.45,0.0,6.9,10.34,0.0,3.45,6.9,13.79,10.34,3.45,0.0
3.45,20.69,0.0,3.45,0.0,13.79,0.0,3.45,0.0,3.45,0.0,3.45,6.9,0.0,3.45,6.9,17.24,6.9,3.45,3.45
3.33,20.0,0.0,3.33,0.0,10.0,0.0,13.33,6.67,0.0,0.0,3.33,6.67,0.0,3.33,16.67,0.0,6.67,3.33,3.33
0.0,20.0,0.0,6.67,3.33,16.67,0.0,0.0,0.0,3.33,0.0,6.67,10.0,0.0,3.33,6.67,13.33,6.67,3.33,0.0
0.0,20.69,0.0,3.45,0.0,17.24,0.0,3.45,0.0,3.45,0.0,6.9,10.34,0.0,3.45,10.34,10.34,6.9,3.45,0.0
0.0,20.69,0.0,3.45,0.0,17.24,0.0,3.45,0.0,3.45,0.0,6.9,10.34,0.0,3.45,6.9,13.79,6.9,3.45,0.0
6.25,0.0,6.25,0.0,6.25,18.75,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
12.5,0.0,0.0,0.0,6.25,18.75,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
12.5,0.0,6.25,0.0,6.25,18.75,0.0,12.5,6.25,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
12.5,0.0,6.25,0.0,6.25,18.75,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0
6.25,0.0,6.25,0.0,6.25,12.5,0.0,12.5,18.75,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
6.25,0.0,6.25,0.0,6.25,6.25,0.0,12.5,25.0,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
12.5,0.0,6.25,0.0,6.25,6.25,0.0,12.5,18.75,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
12.5,0.0,0.0,0.0,6.25,12.5,0.0,12.5,18.75,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
12.5,0.0,0.0,0.0,6.25,6.25,0.0,12.5,25.0,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
18.75,0.0,0.0,0.0,6.25,6.25,0.0,12.5,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0
18.75,0.0,0.0,0.0,6.25,6.25,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,18.75,0.0,0.0
12.5,0.0,0.0,0.0,6.25,6.25,0.0,12.5,31.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0
6.25,0.0,0.0,0.0,6.25,18.75,0.0,12.5,18.75,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
6.25,0.0,0.0,0.0,6.25,6.25,0.0,12.5,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0
6.25,0.0,6.25,0.0,6.25,18.75,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,18.75,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67,58.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,60.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0
13.04,0.0,0.0,0.0,0.0,13.04,0.0,17.39,8.7,17.39,0.0,4.35,4.35,0.0,4.35,8.7,4.35,0.0,4.35,0.0
13.04,0.0,0.0,4.35,13.04,13.04,4.35,8.7,17.39,4.35,4.35,4.35,0.0,0.0,0.0,8.7,0.0,4.35,0.0,0.0
17.39,0.0,0.0,4.35,13.04,8.7,4.35,8.7,17.39,4.35,4.35,4.35,0.0,0.0,0.0,8.7,0.0,4.35,0.0,0.0
12.5,8.33,0.0,0.0,8.33,4.17,0.0,12.5,8.33,20.83,0.0,4.17,8.33,0.0,0.0,4.17,4.17,0.0,0.0,4.17
15.0,10.0,0.0,0.0,10.0,5.0,0.0,15.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0
8.33,8.33,0.0,0.0,8.33,0.0,0.0,12.5,25.0,20.83,0.0,0.0,4.17,0.0,0.0,4.17,4.17,0.0,0.0,4.17
15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,30.77,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,38.46,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.53,0.0,0.0,0.0,10.53,0.0,0.0,31.58,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,42.11,0.0,0.0
0.0,10.53,0.0,0.0,0.0,10.53,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,42.11,0.0,0.0
0.0,10.53,0.0,0.0,0.0,10.53,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,10.53,5.26,0.0,42.11,0.0,0.0
0.0,10.53,0.0,0.0,0.0,10.53,0.0,0.0,21.05,0.0,0.0,0.0,0.0,10.53,0.0,5.26,0.0,42.11,0.0,0.0
42.11,10.53,0.0,0.0,0.0,10.53,0.0,0.0,31.58,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0
0.0,10.53,0.0,0.0,42.11,10.53,0.0,0.0,31.58,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0
0.0,10.53,0.0,0.0,0.0,10.53,0.0,0.0,31.58,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,42.11,0.0
0.0,8.33,0.0,0.0,0.0,8.33,4.17,0.0,8.33,4.17,4.17,0.0,12.5,8.33,29.17,4.17,4.17,0.0,4.17,0.0
0.0,0.0,4.55,0.0,0.0,13.64,0.0,0.0,9.09,4.55,4.55,4.55,0.0,4.55,31.82,0.0,9.09,4.55,9.09,0.0
20.0,6.67,6.67,0.0,6.67,6.67,0.0,0.0,6.67,6.67,0.0,13.33,6.67,6.67,0.0,0.0,0.0,6.67,0.0,6.67
10.0,0.0,10.0,0.0,0.0,0.0,3.33,0.0,10.0,26.67,0.0,0.0,0.0,3.33,23.33,3.33,0.0,6.67,0.0,3.33
4.0,0.0,4.0,0.0,4.0,12.0,12.0,0.0,0.0,16.0,4.0,4.0,8.0,4.0,8.0,12.0,0.0,8.0,0.0,0.0
20.0,0.0,4.0,0.0,12.0,16.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,12.0,16.0,0.0,4.0,4.0,0.0,0.0
16.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,4.0,20.0,12.0,4.0,8.0,0.0,4.0
12.0,0.0,4.0,12.0,8.0,4.0,0.0,4.0,4.0,16.0,0.0,4.0,8.0,0.0,0.0,12.0,0.0,8.0,4.0,0.0
4.0,0.0,8.0,4.0,8.0,16.0,4.0,4.0,8.0,8.0,0.0,0.0,12.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0
0.0,0.0,4.17,4.17,0.0,8.33,8.33,0.0,4.17,4.17,0.0,4.17,12.5,4.17,8.33,12.5,8.33,4.17,8.33,4.17
12.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,8.0,8.0,12.0,12.0,0.0,4.0,0.0
21.43,0.0,0.0,3.57,3.57,3.57,7.14,7.14,10.71,7.14,3.57,3.57,0.0,3.57,0.0,14.29,3.57,3.57,0.0,3.57
7.41,0.0,7.41,0.0,3.7,0.0,3.7,0.0,11.11,11.11,3.7,7.41,3.7,3.7,11.11,7.41,0.0,3.7,11.11,3.7
7.41,0.0,7.41,0.0,3.7,0.0,3.7,0.0,11.11,11.11,3.7,7.41,3.7,0.0,11.11,3.7,0.0,3.7,18.52,3.7
7.41,0.0,7.41,0.0,3.7,3.7,3.7,0.0,11.11,11.11,3.7,7.41,3.7,3.7,7.41,7.41,0.0,3.7,11.11,3.7
7.41,0.0,3.7,3.7,3.7,3.7,3.7,0.0,7.41,11.11,3.7,7.41,0.0,3.7,11.11,7.41,0.0,3.7,14.81,3.7
7.41,0.0,3.7,0.0,3.7,3.7,3.7,0.0,7.41,11.11,3.7,7.41,0.0,3.7,0.0,7.41,0.0,3.7,29.63,3.7
7.41,0.0,7.41,3.7,3.7,3.7,3.7,0.0,11.11,11.11,3.7,7.41,3.7,3.7,14.81,7.41,0.0,3.7,0.0,3.7
14.29,0.0,14.29,0.0,0.0,0.0,0.0,14.29,21.43,21.43,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,7.14,0.0
15.0,10.0,0.0,0.0,15.0,0.0,0.0,5.0,15.0,30.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5.88,0.0,5.88,5.88,5.88,5.88,0.0,0.0,5.88,5.88,2.94,2.94,0.0,2.94,35.29,5.88,0.0,2.94,2.94,2.94
6.9,0.0,10.34,3.45,0.0,6.9,3.45,10.34,0.0,3.45,3.45,3.45,0.0,3.45,37.93,3.45,0.0,3.45,0.0,0.0
13.79,0.0,6.9,3.45,0.0,6.9,3.45,10.34,0.0,0.0,3.45,3.45,0.0,3.45,37.93,3.45,0.0,3.45,0.0,0.0
8.0,8.0,0.0,0.0,8.0,4.0,0.0,4.0,12.0,4.0,4.0,0.0,4.0,4.0,20.0,4.0,4.0,4.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,8.33,0.0,0.0,8.33,4.17,0.0,4.17,20.83,12.5,0.0,0.0,4.17,0.0,0.0,8.33,4.17,12.5,0.0,0.0
18.18,0.0,0.0,0.0,18.18,9.09,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0
9.09,0.0,0.0,0.0,18.18,9.09,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0
12.5,8.33,0.0,0.0,12.5,0.0,0.0,4.17,16.67,20.83,0.0,4.17,8.33,0.0,0.0,4.17,4.17,4.17,0.0,0.0
5.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,20.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0
21.74,0.0,0.0,4.35,13.04,8.7,4.35,8.7,17.39,4.35,4.35,4.35,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
12.12,6.06,6.06,0.0,0.0,12.12,0.0,3.03,12.12,18.18,0.0,3.03,0.0,3.03,0.0,12.12,3.03,9.09,0.0,0.0
0.0,0.0,0.0,0.0,4.35,8.7,0.0,13.04,21.74,13.04,4.35,0.0,0.0,0.0,17.39,4.35,8.7,4.35,0.0,0.0
0.0,0.0,3.7,0.0,3.7,7.41,0.0,14.81,22.22,11.11,3.7,0.0,0.0,0.0,14.81,7.41,7.41,3.7,0.0,0.0
0.0,0.0,4.35,0.0,4.35,4.35,0.0,17.39,26.09,8.7,4.35,0.0,0.0,0.0,13.04,8.7,8.7,0.0,0.0,0.0
21.88,0.0,3.12,3.12,0.0,12.5,0.0,3.12,12.5,9.38,0.0,6.25,3.12,6.25,0.0,6.25,3.12,6.25,3.12,0.0
16.67,0.0,0.0,0.0,0.0,5.56,0.0,16.67,5.56,27.78,5.56,0.0,5.56,0.0,0.0,16.67,0.0,0.0,0.0,0.0
4.76,9.52,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,28.57,0.0,0.0,23.81,9.52,14.29
3.23,19.35,0.0,3.23,6.45,9.68,0.0,6.45,9.68,3.23,0.0,3.23,6.45,0.0,0.0,12.9,6.45,6.45,0.0,3.23
3.23,19.35,0.0,3.23,0.0,6.45,0.0,6.45,9.68,9.68,0.0,3.23,6.45,0.0,0.0,9.68,6.45,9.68,0.0,6.45
6.67,20.0,0.0,3.33,0.0,10.0,0.0,10.0,3.33,3.33,0.0,6.67,6.67,0.0,0.0,6.67,6.67,10.0,3.33,3.33
0.0,20.69,0.0,3.45,3.45,17.24,0.0,3.45,0.0,3.45,0.0,6.9,10.34,0.0,6.9,3.45,13.79,3.45,0.0,3.45
13.51,0.0,2.7,2.7,2.7,10.81,0.0,13.51,18.92,2.7,0.0,2.7,2.7,8.11,2.7,0.0,2.7,10.81,2.7,0.0
14.29,0.0,0.0,5.71,2.86,11.43,0.0,11.43,20.0,5.71,2.86,5.71,2.86,0.0,5.71,0.0,0.0,8.57,2.86,0.0
18.18,4.55,0.0,0.0,4.55,0.0,0.0,4.55,13.64,4.55,4.55,0.0,4.55,0.0,18.18,4.55,4.55,4.55,9.09,0.0
12.0,8.0,0.0,0.0,4.0,8.0,0.0,4.0,16.0,16.0,0.0,8.0,0.0,8.0,0.0,12.0,0.0,4.0,0.0,0.0
4.76,0.0,0.0,0.0,4.76,9.52,0.0,0.0,0.0,33.33,0.0,0.0,4.76,4.76,33.33,0.0,0.0,4.76,0.0,0.0
9.09,4.55,0.0,4.55,0.0,4.55,0.0,9.09,13.64,4.55,4.55,4.55,0.0,9.09,31.82,0.0,0.0,0.0,0.0,0.0
0.0,7.14,0.0,0.0,14.29,0.0,0.0,0.0,42.86,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,21.43,0.0
0.0,7.14,0.0,0.0,0.0,28.57,7.14,0.0,35.71,0.0,0.0,0.0,0.0,7.14,0.0,7.14,0.0,0.0,0.0,7.14
20.83,8.33,0.0,0.0,12.5,4.17,0.0,12.5,16.67,8.33,0.0,0.0,8.33,0.0,0.0,4.17,0.0,4.17,0.0,0.0
12.5,8.33,0.0,0.0,12.5,4.17,0.0,20.83,16.67,8.33,0.0,0.0,8.33,0.0,0.0,4.17,4.17,0.0,0.0,0.0
16.67,8.33,0.0,0.0,12.5,4.17,0.0,8.33,12.5,12.5,0.0,4.17,8.33,0.0,0.0,4.17,0.0,8.33,0.0,0.0
20.83,8.33,0.0,0.0,8.33,4.17,0.0,16.67,16.67,4.17,0.0,0.0,4.17,4.17,0.0,4.17,0.0,8.33,0.0,0.0
20.83,8.33,0.0,4.17,8.33,4.17,0.0,16.67,16.67,4.17,0.0,0.0,4.17,0.0,0.0,4.17,0.0,8.33,0.0,0.0
10.71,7.14,7.14,0.0,0.0,10.71,0.0,7.14,17.86,10.71,3.57,0.0,0.0,0.0,0.0,3.57,10.71,7.14,3.57,0.0
0.0,11.76,0.0,0.0,5.88,11.76,0.0,17.65,5.88,17.65,5.88,0.0,0.0,5.88,5.88,0.0,11.76,0.0,0.0,0.0
5.56,0.0,0.0,0.0,5.56,16.67,16.67,0.0,11.11,5.56,0.0,0.0,0.0,0.0,27.78,5.56,0.0,5.56,0.0,0.0
57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.14,0.0,0.0,3.57,21.43,10.71,0.0,0.0,25.0,7.14,0.0,3.57,0.0,0.0,14.29,3.57,0.0,0.0,0.0,3.57
11.54,0.0,0.0,0.0,7.69,11.54,3.85,7.69,26.92,11.54,0.0,0.0,0.0,0.0,7.69,3.85,0.0,3.85,0.0,3.85
11.54,0.0,0.0,0.0,3.85,15.38,3.85,7.69,30.77,7.69,0.0,0.0,0.0,0.0,7.69,3.85,0.0,3.85,0.0,3.85
11.54,0.0,0.0,0.0,7.69,15.38,3.85,3.85,26.92,7.69,0.0,0.0,0.0,3.85,7.69,3.85,0.0,3.85,0.0,3.85
7.14,0.0,0.0,3.57,21.43,10.71,0.0,0.0,25.0,7.14,3.57,3.57,0.0,0.0,10.71,3.57,0.0,0.0,0.0,3.57
5.63,19.72,11.27,5.63,2.82,0.0,1.41,2.82,7.04,2.82,1.41,4.23,8.45,4.23,2.82,12.68,2.82,1.41,0.0,2.82
5.56,0.0,0.0,0.0,16.67,0.0,5.56,5.56,38.89,16.67,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,5.56,0.0
14.29,1.59,1.59,3.17,4.76,9.52,1.59,7.94,9.52,7.94,1.59,4.76,0.0,7.94,3.17,1.59,6.35,11.11,1.59,0.0
16.0,16.0,12.0,0.0,4.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0
16.0,16.0,12.0,0.0,4.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0
3.57,21.43,0.0,3.57,10.71,14.29,0.0,7.14,7.14,3.57,0.0,3.57,3.57,0.0,0.0,10.71,0.0,7.14,0.0,3.57
0.0,19.35,3.23,3.23,3.23,9.68,0.0,9.68,6.45,3.23,0.0,3.23,6.45,0.0,3.23,12.9,0.0,12.9,0.0,3.23
0.0,24.0,0.0,4.0,12.0,8.0,0.0,0.0,16.0,4.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0
19.23,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,3.85,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
19.23,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,3.85,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
15.38,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,7.69,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
15.38,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,7.69,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
15.38,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,7.69,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
11.54,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,11.54,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
7.69,0.0,0.0,0.0,7.69,0.0,3.85,3.85,26.92,15.38,0.0,0.0,0.0,0.0,0.0,15.38,11.54,3.85,3.85,0.0
